sentence_id,homograph,homograph_index,pos,sentence,homograph_pronunciation
22883,adoptions,24,VERB,"Par conséquent , si un demandeur d ' asile attendait des nouvelles d ' une décision négative , il lui suffit - si nous adoptions la motion présentée par le groupe Verts / Alliance libre européenne - de refuser la lettre ou d ' être absent pour ne pas la recevoir .",a d ɔ p t j ɔ̃
1190125,adoptions,17,VERB,"Cette idée , développée par Nicolas de Cuse au cours du XVe siècle , demande que nous adoptions l ' objectif d ' une fraternité oecuménique entre les nations souveraines , de façon à ce que chacune s' engage à promouvoir le bien commun de son propre peuple et à coopérer dans la mise en place d ' une communauté de principe entre les nations , basée sur l ' intérêt général .",a d ɔ p t j ɔ̃
1193263,adoptions,3,VERB,"Alors que nous adoptions cette attitude , les larmes ont commencé à couler sur le visage de Raju .",a d ɔ p t j ɔ̃
22611,adoptions,10,VERB,Vous ne devez pas permettre mais bien imposer que nous adoptions une autre stratégie et que nous prenions toutes les assurances en matière de politique commerciale .,a d ɔ p t j ɔ̃
1193131,adoptions,8,VERB,"Mais pour cela , il faudra que nous adoptions des normes de partage ouvertes et un fonctionnement participatif , dans un monde où l ' éditorialisation est devenue la nouvelle littéracie , c ' est-à-dire la nouvelle compétence à acquérir .",a d ɔ p t j ɔ̃
22973,adoptions,2,VERB,"Si nous adoptions leur hypothèse , il serait vraiment absurde de comparer au _ Joueur d ' échecs _ tout autre individu analogue , soit des temps anciens , soit des temps modernes .",a d ɔ p t j ɔ̃
1192280,adoptions,10,VERB,Mais il est hors de question que nous l ' adoptions .,a d ɔ p t j ɔ̃
22602,adoptions,13,VERB,Les normes et les exigences varient énormément et il est urgent que nous adoptions une approche communautaire dans ce domaine .,a d ɔ p t j ɔ̃
1192572,adoptions,2,VERB,"Si nous adoptions la même comptabilisation de cette dette colossale ( environ 800 milliards d ' euros ) , la dette de l ' Etat Français serait à 110 % du PIB !",a d ɔ p t j ɔ̃
22669,adoptions,12,VERB,"Si les États-Unis veulent réaliser la convergence avec nous avant que nous adoptions une position , nous apprécierions qu ' ils nous exposent rapidement leur opinion à propos de cette question capitale .",a d ɔ p t j ɔ̃
1189102,adoptions,8,VERB,Voici la démarche que je voudrais que nous adoptions .,a d ɔ p t j ɔ̃
22913,adoptions,282,VERB,"Les points essentiels sur lesquels la commission de la recherche , du développement technologique et de l ' énergie focalise ses critiques et ses recommandations , qui correspondent à celles de M . Izquierdo Collado , sont : premièrement , prendre en considération les conséquences d ' un élargissement pour définir les futurs instruments de cohésion ; deuxièmement , accroître et améliorer tant le montant des fonds que l ' efficacité de leur application ; troisièmement , consacrer certains fonds à l ' obtention d ' une structure de recherche et de développement homogène au sein de l ' Union européenne qui permettrait de se rapprocher du pourcentage du PIB que nos concurrents consacrent à ces objectifs et , dans la même direction , faire correspondre le cinquième programme-cadre de recherche et le souci d ' innovation technologique et de création d ' emplois ; quatrièmement , vu l ' importance de la société de l ' information , agir également de façon cohérente avec ces fonds ; cinquièmement , faire correspondre la définition et le futur élargissement de la Politique agricole commune à ces objectifs ; sixièmement , en prenant en considération le rôle joué par la fourniture et l ' accès à l ' énergie dans la réalisation de la cohésion sociale , consacrer une partie importante et significative de ces fonds à l ' infrastructure de fournitures ; septièmement , et pour finir , mettre en évidence la contradiction qui existe entre le modèle actuel de croissance économique , qui entraîne une augmentation des inégalités , et l ' adapter pour qu ' il n ' y ait pas à l ' avenir de conditions restrictives et que nous adoptions un modèle économique plus juste .",a d ɔ p t j ɔ̃
1192117,adoptions,6,VERB,"Je suggère en effet que nous adoptions cet amendement CE 13 , et le rapporteur de la commission des lois en proposera un autre s' il le juge meilleur .",a d ɔ p t j ɔ̃
1188794,adoptions,37,VERB,"Il profita de cette occasion pour mettre en valeur la possibilité pour le chef de l ' État français de solliciter l ' arbitrage des électeurs par le référendum ou par la dissolution : "" si nous adoptions le système américain , il n ' y en aurait aucune .",a d ɔ p t j ɔ̃
1192857,adoptions,2,VERB,"Si nous adoptions un raisonnement rationnel , la conclusion évidente serait de mener toujours plus de pourparlers de paix , et d ' éviter autant que possible la guerre , en particulier après une guerre ratée .",a d ɔ p t j ɔ̃
1189765,adoptions,19,VERB,"Car si nous ne faisons pas le choix de pardonner , il y a de forts risques que nous adoptions une attitude teintée d ' agressivité .",a d ɔ p t j ɔ̃
1189078,adoptions,12,VERB,"IL EST PLUS QUE TEMPS , QUE NOUS , PEUPLE FRANÇAIS , ADOPTIONS UNE MOTION DE CENSURE DE CETTE ASSEMBLÉE NATIONALE QUI SE TROUVE CAPORALISÉE ET VASSALISÉE PAR UN GOUVERNEMENT DE LA RÉACTION , CONDUIT PAR UN SOUS-CAUDILLO DE BAZAR , MIS EN PLACE ET MAINTENU EN FONCTION PAR UN HOMME INSTALLÉ AU PALAIS DE L ' ÉLYSÉE QUI SE PRÉTEND PRÉSIDENT DE LA RÉPUBLIQUE ET CHEF DE L ' ÉTAT ALORS QU ' IL A USURPÉ SON TITRE ET N ' EST QU ' UN VULGAIRE LARBIN DU CAPITALISME ET UN LAQUAIS DE TROISIÈME ORDRE DE L ' EMPIRE ÉTATS-UNIEN !",a d ɔ p t j ɔ̃
22905,adoptions,6,VERB,Le groupe libéral suggère que nous adoptions une approche radicale sur la protection et l ' avenir de la pêche mondiale en général .,a d ɔ p t j ɔ̃
1190882,adoptions,11,VERB,"J ' interpelle donc avec force le Gouvernement pour que nous adoptions une position claire par rapport au monde de la recherche , au niveau tant national qu ' international .",a d ɔ p t j ɔ̃
1243971,affluent,7,VERB,"Elle a expliqué que les réfugiés qui affluent dans les pays voisins rapportent la présence de milices armées et d ' unités de garde locales mises en place par les communautés locales pour se défendre . """,a f l y
176523,affluent,2,VERB,Les élèves affluent de partout en Europe : Polotsk est un centre intellectual important et le plus international des collèges Il est élevé au niveau d ' Académie ' ( c ' est-à-dire ' Université ' ) par le tsar Alexandre Ier en 1812 .,a f l y
165263,affluent,19,VERB,"L ' arrivée du chemin de fer en 1863 précipite encore le développement de l ' endroit , où affluent de riches San-Franciscains qui y établissent des résidences secondaires .",a f l y
156268,affluent,13,VERB,"Le village se trouve dans la vallée de la Montcient , petite rivière affluent de l ' Aubette de Meulan .",a f l y
1240694,affluent,2,VERB,Les richesses affluent dans sa maison : à jamais se maintiendra sa justice .,a f l y
167287,affluent,6,VERB,"Durant six jours , environ touristes affluent pour découvrir 450 artistes dans une ambiance de fête .",a f l y
1237132,affluent,27,VERB,"Si elle affiche aujourd ' hui la couleur -- rouge ( rosso , en italien ) -- , c ' est que le sang et la vie affluent généreusement dans son récital .",a f l y
1237718,affluent,50,VERB,"Mais là , dans la confusion des marches de la mort , lui et trois camarades parviennent à fuir les colonnes , à rejoindre la ville de Seesen , dont ils "" prennent possession "" , faisant office de maire et adjoints pendant quelques semaines , accueillant les blessés qui affluent de toutes parts , créant un hôpital et organisant petit à petit le rapatriement de tous .",a f l y
1244763,affluent,38,VERB,"Sous son impulsion , la collection se déconnecte ainsi de tout vocabulaireconnu pour acquérir une dimension 100 % néo-Balenciaga ... On découvre ainsi avec plaisir l ' évolution des "" basics "" , tandis que les références aumotocross affluent .",a f l y
1240501,affluent,12,VERB,Les premiers bâtiments de la station sont construits et les premiers touristes affluent .,a f l y
1240000,affluent,3,VERB,Des sommes colossales affluent des quatre coins du globe .,a f l y
1240155,affluent,32,VERB,Dans quasiment tous les domaines de la pensée les deux forces s' affrontent à cause de l ' impact des énergies des Poissons qui se retirent et des énergies du Verseau qui affluent .,a f l y
155460,affluent,4,VERB,"Les commandes n ' affluent pas , mais l ' aéronautique étant une affaire d ' État en Europe , le GIE reçoit de quoi survivre jusqu ' en 1978 .",a f l y
1246089,affluent,5,VERB,"Là , de toutes parts affluent tous ceux qui ont des différends , et ils se soumettent à leurs décisions et à leurs arrêts .",a f l y
1240651,affluent,39,VERB,"Sans débouché sur la mer , il est baigné par le lac Malawi , ou Nyassa , troisième lac d ' Afrique par sa superficie , qui couvre environ le cinquième de la superficie du pays et dans lequel affluent huit fleuves et des centaines de cours d ' eau .",a f l y
1238852,affluent,7,VERB,"Ainsi , plus de 25 000 visiteurs affluent au Festival et , qu ' ils soient professionnels , passionnés ou simples amateurs du monde marin , tous viennent s' émerveiller devant les œuvres des quelques 1000 participants issus de près de 58 nations à travers le monde .",a f l y
1244443,affluent,13,VERB,"Reste que les appels au 115 , le numéro du Samu social , affluent en cette période de l ' année .",a f l y
1240809,affluent,50,VERB,"Pour sa part , le Saint-Siège blâme l ' Église canadienne-française de mêler religion , politique et intérêts ethniques , et d ' entraver la conversion de l ' Amérique du Nord , objectif qu ' il estime enfin réalisable grâce au grand nombre d ' immigrants catholiques qui y affluent .",a f l y
1249721,affluent,19,VERB,"Aujourd ' hui , c ' est lui qui coordonne toutes les aides apportées aux habitants et réfugiés qui affluent dans la région .",a f l y
1235194,affluent,19,ADJMS,"Renvoyé de son poste , il demande à sa femme d ' aller trouver John Owens , un homme affluent et gros client des chemins de fer , pour qu ' il puisse intervenir en sa faveur .",a f l y ɑ̃
1242763,affluent,6,ADJMS,"Le Yang King Pang , ruisseau affluent du Whangpoo , séparait les Anglais au Nord des Français au Sud .",a f l y ɑ̃
1241876,affluent,8,ADJMS,"Il était très important , il était très affluent sur l ' avenir de la cité .",a f l y ɑ̃
1239398,affluent,28,ADJMS,"L ' effort de discréditer les véritables a plutôt produit un catalogue de sites Web où l ' information fiable peut être trouvée , et les lecteurs sont affluent vers les sites sur la liste .",a f l y ɑ̃
1236789,affluent,22,ADJMS,Une relation de proximité a pu se tisser entre les artistes et le public les jours où ce dernier était le moins affluent .,a f l y ɑ̃
155087,affluent,12,ADJMS,"Avec des ramifications sur , il est le deuxième plus grand bassin affluent du fleuve Saint-Laurent après la rivière des Outaouais .",a f l y ɑ̃
1235912,affluent,19,ADJMS,"Renvoyé de son poste , il demande à sa femme d ' aller trouver John Owens , un homme affluent et gros client des chemins de fer , pour qu ' il puisse intervenir en sa faveur .",a f l y ɑ̃
1249858,affluent,9,ADJMS,"En quatrième position on retrouve le public le plus affluent d ' Europe , celui de l ' Union Bordeaux-Bègles avec 11 % des votes .",a f l y ɑ̃
